event_time,Timestamp,UserID,SessionID,EventType,ProductID,Amount,Outcome
0 days 00:00:27,00:27.0,1,1,page_view,,,
0 days 00:01:00.100000,01:00.1,1,1,page_view,,,
0 days 00:08:10.600000,08:10.6,1,1,product_view,prod_8199,,
0 days 00:32:05.500000,32:05.5,1,1,add_to_cart,prod_4112,,
0 days 00:43:01.300000,43:01.3,1,1,add_to_cart,prod_3354,,
0 days 00:09:52,09:52.0,1,1,page_view,,,
0 days 00:13:26.900000,13:26.9,1,1,add_to_cart,prod_4965,,
0 days 00:41:53.100000,41:53.1,1,1,login,,,
0 days 00:13:38,13:38.0,1,1,click,,,
0 days 00:17:34.500000,17:34.5,1,2,page_view,,,
0 days 00:56:23.700000,56:23.7,1,2,logout,,,
0 days 00:00:13,00:13.0,1,2,click,,,
0 days 00:07:46.900000,07:46.9,1,2,product_view,prod_2683,,
0 days 00:47:38.800000,47:38.8,1,2,page_view,,,
0 days 00:01:09.500000,01:09.5,1,2,page_view,,,
0 days 00:22:41.100000,22:41.1,1,3,purchase,prod_5244,72.91361870063564,purchase
0 days 00:23:27,23:27.0,1,3,login,,,
0 days 00:58:06.400000,58:06.4,1,3,click,,,
0 days 00:33:10.300000,33:10.3,1,3,product_view,prod_9640,,
0 days 00:42:42.100000,42:42.1,1,3,add_to_cart,prod_8364,,
0 days 00:46:46.400000,46:46.4,1,3,add_to_cart,prod_9851,,
0 days 00:04:33.100000,04:33.1,1,3,page_view,,,
0 days 00:19:33,19:33.0,1,3,login,,,
0 days 00:46:13.900000,46:13.9,1,3,add_to_cart,prod_6426,,
0 days 00:08:42.700000,08:42.7,1,4,product_view,prod_5771,,
0 days 00:36:29.700000,36:29.7,1,4,add_to_cart,prod_8066,,
0 days 00:08:04.300000,08:04.3,1,4,page_view,,,
0 days 00:05:11.800000,05:11.8,1,4,login,,,
0 days 00:57:26.900000,57:26.9,1,4,login,,,
0 days 00:25:49.700000,25:49.7,1,4,add_to_cart,prod_1102,,
0 days 00:15:52.100000,15:52.1,1,4,purchase,prod_9886,7.677937741600427,purchase
0 days 00:12:05.600000,12:05.6,1,4,page_view,,,
0 days 00:15:51.400000,15:51.4,1,4,add_to_cart,prod_6144,,
0 days 00:57:34.700000,57:34.7,1,4,add_to_cart,prod_5644,,
0 days 00:51:29.400000,51:29.4,1,5,purchase,prod_6690,149.27004735392265,purchase
0 days 00:44:57.300000,44:57.3,1,5,login,,,
0 days 00:51:05.700000,51:05.7,1,5,logout,,,
0 days 00:40:55.400000,40:55.4,1,5,purchase,prod_9946,359.58913623256626,purchase
0 days 00:48:43.100000,48:43.1,1,5,page_view,,,
0 days 00:02:38.200000,02:38.2,1,5,click,,,
0 days 00:03:13.900000,03:13.9,1,5,product_view,prod_5175,,
0 days 00:43:05.900000,43:05.9,1,5,purchase,prod_5113,454.1052765032477,purchase
0 days 00:31:30.100000,31:30.1,1,5,purchase,prod_2362,35.606155713957904,purchase
0 days 00:09:16.200000,09:16.2,1,6,add_to_cart,prod_4614,,
0 days 00:21:36.700000,21:36.7,1,6,product_view,prod_7475,,
0 days 00:49:15,49:15.0,1,6,logout,,,
0 days 00:26:12.100000,26:12.1,1,6,add_to_cart,prod_3223,,
0 days 00:56:10.100000,56:10.1,1,6,add_to_cart,prod_1192,,
0 days 00:24:04.400000,24:04.4,1,6,add_to_cart,prod_8028,,
0 days 00:30:08.600000,30:08.6,1,6,product_view,prod_9542,,
0 days 00:07:05.800000,07:05.8,1,6,page_view,,,
0 days 00:27:34.700000,27:34.7,1,7,add_to_cart,prod_5915,,
0 days 00:56:58.100000,56:58.1,1,7,product_view,prod_3548,,
0 days 00:26:04.100000,26:04.1,1,7,product_view,prod_1392,,
0 days 00:16:33.800000,16:33.8,1,7,add_to_cart,prod_5032,,
0 days 00:46:07.900000,46:07.9,1,7,add_to_cart,prod_8998,,
0 days 00:54:59.600000,54:59.6,1,7,add_to_cart,prod_9103,,
0 days 00:34:11.600000,34:11.6,1,7,add_to_cart,prod_2436,,
0 days 00:31:53.800000,31:53.8,1,7,product_view,prod_5109,,
0 days 00:49:18.900000,49:18.9,1,8,logout,,,
0 days 00:22:55.100000,22:55.1,1,8,product_view,prod_3790,,
0 days 00:23:23.100000,23:23.1,1,8,page_view,,,
0 days 00:09:28.200000,09:28.2,1,8,product_view,prod_9816,,
0 days 00:43:52.500000,43:52.5,1,8,page_view,,,
0 days 00:33:28.100000,33:28.1,1,8,login,,,
0 days 00:09:29.700000,09:29.7,1,8,click,,,
0 days 00:44:58.900000,44:58.9,1,8,login,,,
0 days 00:56:51.500000,56:51.5,1,8,logout,,,
0 days 00:05:37,05:37.0,1,8,login,,,
0 days 00:45:50.300000,45:50.3,1,9,page_view,,,
0 days 00:28:12.900000,28:12.9,1,9,product_view,prod_8690,,
0 days 00:14:38.900000,14:38.9,1,9,add_to_cart,prod_8685,,
0 days 00:33:39.300000,33:39.3,1,9,page_view,,,
0 days 00:05:39,05:39.0,1,9,purchase,prod_3149,457.6279672342614,purchase
0 days 00:30:04.300000,30:04.3,1,9,add_to_cart,prod_8010,,
0 days 00:47:41.600000,47:41.6,1,9,product_view,prod_5478,,
0 days 00:23:28.800000,23:28.8,1,9,purchase,prod_9687,459.3386403923263,purchase
0 days 00:10:22,10:22.0,1,10,login,,,
0 days 00:23:09.900000,23:09.9,1,10,login,,,
0 days 00:04:30.500000,04:30.5,1,10,add_to_cart,prod_2662,,
0 days 00:41:14.100000,41:14.1,1,10,logout,,,
0 days 00:10:14.200000,10:14.2,1,10,add_to_cart,prod_7361,,
0 days 00:27:01.900000,27:01.9,2,1,logout,,,
0 days 00:18:00.600000,18:00.6,2,1,click,,,
0 days 00:02:50.200000,02:50.2,2,1,page_view,,,
0 days 00:41:02,41:02.0,2,1,purchase,prod_9140,262.5236986694382,purchase
0 days 00:50:07.600000,50:07.6,2,1,logout,,,
0 days 00:13:58.300000,13:58.3,2,1,login,,,
0 days 00:53:06.600000,53:06.6,2,1,logout,,,
0 days 00:57:27.200000,57:27.2,2,2,page_view,,,
0 days 00:03:04.300000,03:04.3,2,2,logout,,,
0 days 00:55:51.200000,55:51.2,2,2,add_to_cart,prod_6847,,
0 days 00:05:44.300000,05:44.3,2,2,login,,,
0 days 00:38:56,38:56.0,2,2,purchase,prod_4500,199.35696936503544,purchase
0 days 00:29:20,29:20.0,2,2,page_view,,,
0 days 00:04:41.300000,04:41.3,2,2,purchase,prod_9382,130.052528,purchase
0 days 00:19:06.800000,19:06.8,2,2,page_view,,,
0 days 00:39:14.200000,39:14.2,2,3,click,,,
0 days 00:29:34.900000,29:34.9,2,3,logout,,,
0 days 00:57:15.800000,57:15.8,2,3,login,,,
0 days 00:31:28.700000,31:28.7,2,3,add_to_cart,prod_9809,,
0 days 00:21:34.500000,21:34.5,2,3,add_to_cart,prod_4092,,
0 days 00:23:41.900000,23:41.9,2,3,purchase,prod_5291,92.79021854337398,purchase
0 days 00:07:40.500000,07:40.5,2,4,add_to_cart,prod_8372,,
0 days 00:29:59.600000,29:59.6,2,4,add_to_cart,prod_2292,,
0 days 00:21:53.600000,21:53.6,2,4,add_to_cart,prod_7594,,
0 days 00:18:17.900000,18:17.9,2,4,add_to_cart,prod_9583,,
0 days 00:15:35.800000,15:35.8,2,4,page_view,,,
0 days 00:07:42.300000,07:42.3,2,5,add_to_cart,prod_4777,,
0 days 00:39:46,39:46.0,2,5,login,,,
0 days 00:49:57.800000,49:57.8,2,5,purchase,prod_9575,112.32094388676128,purchase
0 days 00:21:11.900000,21:11.9,2,5,page_view,,,
0 days 00:08:44,08:44.0,2,5,logout,,,
0 days 00:12:44,12:44.0,2,5,add_to_cart,prod_7874,,
0 days 00:02:58.800000,02:58.8,2,5,login,,,
0 days 00:11:09.700000,11:09.7,2,6,add_to_cart,prod_9276,,
0 days 00:03:40.400000,03:40.4,2,6,product_view,prod_3943,,
0 days 00:47:08.600000,47:08.6,2,6,add_to_cart,prod_4323,,
0 days 00:14:35.300000,14:35.3,2,6,click,,,
0 days 00:55:56.700000,55:56.7,2,6,login,,,
0 days 00:11:17,11:17.0,2,6,purchase,prod_9879,127.47496301478664,purchase
0 days 00:58:00.300000,58:00.3,2,6,purchase,prod_6559,136.8863327997475,purchase
0 days 00:14:15.600000,14:15.6,2,6,add_to_cart,prod_9788,,
0 days 00:58:53.900000,58:53.9,2,7,purchase,prod_1607,176.5691854935053,purchase
0 days 00:46:25,46:25.0,2,7,purchase,prod_1131,241.24229853836383,purchase
0 days 00:19:28.100000,19:28.1,2,7,login,,,
0 days 00:04:26.200000,04:26.2,2,7,click,,,
0 days 00:54:54.600000,54:54.6,2,7,login,,,
0 days 00:56:29.700000,56:29.7,2,7,click,,,
0 days 00:09:49.800000,09:49.8,2,7,product_view,prod_7752,,
0 days 00:03:18.300000,03:18.3,2,7,page_view,,,
0 days 00:29:00.300000,29:00.3,2,7,purchase,prod_6365,186.82975650819932,purchase
0 days 00:51:43.800000,51:43.8,2,8,add_to_cart,prod_9795,,
0 days 00:29:23.400000,29:23.4,2,8,click,,,
0 days 00:03:44,03:44.0,2,8,add_to_cart,prod_1139,,
0 days 00:32:18.600000,32:18.6,2,8,page_view,,,
0 days 00:49:04.200000,49:04.2,2,8,logout,,,
0 days 00:58:12.700000,58:12.7,2,8,logout,,,
0 days 00:25:09.900000,25:09.9,2,8,logout,,,
0 days 00:02:32.500000,02:32.5,2,8,purchase,prod_7990,107.78039914003529,purchase
0 days 00:08:27.200000,08:27.2,2,9,add_to_cart,prod_8080,,
0 days 00:28:02.100000,28:02.1,2,9,add_to_cart,prod_7470,,
0 days 00:13:20.200000,13:20.2,2,9,page_view,,,
0 days 00:33:56,33:56.0,2,9,click,,,
0 days 00:46:37,46:37.0,2,9,click,,,
0 days 00:27:52.300000,27:52.3,2,9,page_view,,,
0 days 00:50:55.600000,50:55.6,2,10,product_view,prod_3728,,
0 days 00:32:21,32:21.0,2,10,click,,,
0 days 00:55:55.100000,55:55.1,2,10,click,,,
0 days 00:28:22.800000,28:22.8,2,10,login,,,
0 days 00:56:09.700000,56:09.7,2,10,purchase,prod_3548,411.0817576605284,purchase
0 days 00:07:18.800000,07:18.8,2,10,add_to_cart,prod_1159,,
0 days 00:04:02.500000,04:02.5,2,10,product_view,prod_6444,,
0 days 00:05:42,05:42.0,2,10,add_to_cart,prod_8896,,
0 days 00:01:37.600000,01:37.6,2,10,purchase,prod_5105,491.64466874014073,purchase
0 days 00:32:31.700000,32:31.7,3,1,login,,,
0 days 00:48:48.800000,48:48.8,3,1,add_to_cart,prod_2570,,
0 days 00:04:55.900000,04:55.9,3,1,purchase,prod_1562,481.21558835328943,purchase
0 days 00:48:30,48:30.0,3,1,logout,,,
0 days 00:28:14.500000,28:14.5,3,1,logout,,,
0 days 00:58:15.400000,58:15.4,3,1,click,,,
0 days 00:42:30.300000,42:30.3,3,2,login,,,
0 days 00:05:24.600000,05:24.6,3,2,page_view,,,
0 days 00:27:02.300000,27:02.3,3,2,logout,,,
0 days 00:19:16.700000,19:16.7,3,2,add_to_cart,prod_1741,,
0 days 00:56:23.100000,56:23.1,3,2,logout,,,
0 days 00:50:47.800000,50:47.8,3,2,click,,,
0 days 00:01:10.600000,01:10.6,3,3,logout,,,
0 days 00:46:01,46:01.0,3,3,page_view,,,
0 days 00:22:33.700000,22:33.7,3,3,product_view,prod_9768,,
0 days 00:24:58.800000,24:58.8,3,3,page_view,,,
0 days 00:03:32,03:32.0,3,3,click,,,
0 days 00:23:11.200000,23:11.2,3,4,purchase,prod_6789,76.28532414,purchase
0 days 00:49:48.500000,49:48.5,3,4,logout,,,
0 days 00:07:05.600000,07:05.6,3,4,purchase,prod_4273,36.63559899640465,purchase
0 days 00:58:42,58:42.0,3,4,login,,,
0 days 00:27:43.600000,27:43.6,3,4,purchase,prod_6548,101.59811425700028,purchase
0 days 00:43:08.100000,43:08.1,3,5,click,,,
0 days 00:10:54.100000,10:54.1,3,5,purchase,prod_5303,389.6233604915428,purchase
0 days 00:29:00,29:00.0,3,5,logout,,,
0 days 00:30:19.200000,30:19.2,3,5,logout,,,
0 days 00:51:26.600000,51:26.6,3,5,login,,,
0 days 00:29:29.900000,29:29.9,3,5,product_view,prod_1588,,
0 days 00:10:16.200000,10:16.2,3,5,login,,,
0 days 00:05:50.800000,05:50.8,3,5,product_view,prod_5314,,
0 days 00:12:42.800000,12:42.8,3,5,click,,,
0 days 00:06:19.900000,06:19.9,3,6,add_to_cart,prod_5041,,
0 days 00:56:50.100000,56:50.1,3,6,click,,,
0 days 00:19:17.900000,19:17.9,3,6,logout,,,
0 days 00:26:14.200000,26:14.2,3,6,logout,,,
0 days 00:44:16.500000,44:16.5,3,6,logout,,,
0 days 00:52:47.500000,52:47.5,3,6,page_view,,,
0 days 00:29:13.300000,29:13.3,3,6,add_to_cart,prod_4877,,
0 days 00:38:50.200000,38:50.2,3,7,product_view,prod_1260,,
